439 177 (  39.75,  -1.25)
660 111 ( 150.25, -34.25)
232 345 ( -63.75,  82.75)
478 241 (  59.25,  30.75)
408 235 (  24.25,  27.75)
219 182 ( -70.25,   1.25)
692 300 ( 166.25,  60.25)
229 281 ( -65.25,  50.75)
541 253 (  90.75,  36.75)
257 146 ( -51.25, -16.75)
717 311 ( 178.75,  65.75)
671 309 ( 155.75,  64.75)
503 315 (  71.75,  67.75)
239 169 ( -60.25,  -5.25)
408 283 (  24.25,  51.75)
538 232 (  89.25,  26.25)
154 306 (-102.75,  63.25)
168 243 ( -95.75,  31.75)
 41 310 (-159.25,  65.25)
165 258 ( -97.25,  39.25)
657 120 ( 148.75, -29.75)
366 206 (   3.25,  13.25)
136 322 (-111.75,  71.25)
572 239 ( 106.25,  29.75)
276 145 ( -41.75, -17.25)
265 140 ( -47.25, -19.75)
254 125 ( -52.75, -27.25)
180 282 ( -89.75,  51.25)
593 281 ( 116.75,  50.75)
441 268 (  40.75,  44.25)
453 195 (  46.75,   7.75)
 43 308 (-158.25,  64.25)
203 272 ( -78.25,  46.25)
528 256 (  84.25,  38.25)
232 103 ( -63.75, -38.25)
523 246 (  81.75,  33.25)
394 237 (  17.25,  28.75)
449 229 (  44.75,  24.75)
569 217 ( 104.75,  18.75)
411 281 (  25.75,  50.75)
476 274 (  58.25,  47.25)
422 201 (  31.25,  10.75)
125 253 (-117.25,  36.75)
449 232 (  44.75,  26.25)
437 176 (  38.75,  -1.75)
604 141 ( 122.25, -19.25)
211 293 ( -74.25,  56.75)
539 291 (  89.75,  55.75)
537 245 (  88.75,  32.75)
522 213 (  81.25,  16.75)
377 232 (   8.75,  26.25)
 63 314 (-148.25,  67.25)
576 265 ( 108.25,  42.75)
283 154 ( -38.25, -12.75)
207 162 ( -76.25,  -8.75)
258 176 ( -50.75,  -1.75)
514 271 (  77.25,  45.75)
380 304 (  10.25,  62.25)
638 141 ( 139.25, -19.25)
516 244 (  78.25,  32.25)
165 327 ( -97.25,  73.75)
525 224 (  82.75,  22.25)
123 254 (-118.25,  37.25)
435 269 (  37.75,  44.75)
416 308 (  28.25,  64.25)
391 229 (  15.75,  24.75)
409 139 (  24.75, -20.25)
623 275 ( 131.75,  47.75)
477 289 (  58.75,  54.75)
423 223 (  31.75,  21.75)
514 299 (  77.25,  59.75)
426 150 (  33.25, -14.75)
388 212 (  14.25,  16.25)
520 239 (  80.25,  29.75)
647 301 ( 143.75,  60.75)
233 116 ( -63.25, -31.75)
 26 300 (-166.75,  60.25)
615 313 ( 127.75,  66.75)
426 195 (  33.25,   7.75)
 91 301 (-134.25,  60.75)
159 215 (-100.25,  17.75)
476 270 (  58.25,  45.25)
187 286 ( -86.25,  53.25)
225 186 ( -67.25,   3.25)
478 280 (  59.25,  50.25)
 73 304 (-143.25,  62.25)
207 184 ( -76.25,   2.25)
511 308 (  75.75,  64.25)
153 252 (-103.25,  36.25)
477 297 (  58.75,  58.75)
250 166 ( -54.75,  -6.75)
399 317 (  19.75,  68.75)
243 112 ( -58.25, -33.75)
164 331 ( -97.75,  75.75)
635 316 ( 137.75,  68.25)
662 304 ( 151.25,  62.25)
513 205 (  76.75,  12.75)
413 320 (  26.75,  70.25)
528 301 (  84.25,  60.75)
439 148 (  39.75, -15.75)
392 235 (  16.25,  27.75)
222 130 ( -68.75, -24.75)
575 239 ( 107.75,  29.75)
186 315 ( -86.75,  67.75)
427 285 (  33.75,  52.75)
